id,question_en,answer_en,question_te,answer_te
faq01,How can I stay updated on official announcements?,"Listen to radio, follow government SMS alerts, or check official websites and verified social media accounts.",ప్రభుత్వ ప్రకటనలను ఎలా తెలుసుకోవాలి?,"రేడియో వినండి, ప్రభుత్వ SMS హెచ్చరికలను పరిశీలించండి, లేదా అధికారిక వెబ్‌సైట్లను చూడండి."
faq02,How can I use the navigation feature?,"Open the app, go to 'Navigation', and choose your destination. The app shows safe routes and avoids blocked areas.",నావిగేషన్ ఆప్షన్‌ను ఎలా ఉపయోగించాలి?,"యాప్‌ను తెరచి, 'నావిగేషన్' విభాగంలో గమ్యస్థానం ఎంచుకోండి. యాప్ సురక్షిత మార్గాలను చూపుతుంది."
faq03,Can I use the app offline?,"Yes! The app is designed to work completely offline. All key features like Q&A, language support, and emergency guidance are offline.",యాప్ ఇంటర్నెట్ లేకుండా పనిచేస్తుందా?,"అవును! ఈ యాప్ పూర్తిగా ఆఫ్‌లైన్‌లో పనిచేస్తుంది. ప్రధాన ఫీచర్లు ఇంటర్నెట్ లేకుండానే అందుబాటులో ఉంటాయి."
faq04,How do I check if a news message is real or fake?,"Go to the 'Fake News Detection' section and paste the message. The system verifies it using local fact-check data.",న్యూస్ నకిలీదా నిజమా ఎలా తెలుసుకోవాలి?,"'Fake News Detection' విభాగంలో సందేశం పేస్ట్ చేయండి. సిస్టమ్ అది నిజమో కాదో చెక్ చేస్తుంది."
faq05,How can I enable voice input?,"Tap the microphone icon 🎙️ and speak clearly. The app automatically converts your voice into text.",వాయిస్ ఇన్‌పుట్‌ను ఎలా ప్రారంభించాలి?,"మైక్ బటన్ 🎙️ నొక్కి స్పష్టంగా మాట్లాడండి. యాప్ మీ మాటలను ఆటోమేటిక్‌గా టెక్స్ట్‌గా మార్చుతుంది."
faq06,How can I change the language?,"The app automatically detects your language. You can also change it from the settings page.",భాషను ఎలా మార్చాలి?,"యాప్ మీ భాషను ఆటోమేటిక్‌గా గుర్తిస్తుంది. సెట్టింగ్స్‌లో మీరు భాషను మార్చవచ్చు."
faq07,What is the fake news detection feature?,"It allows users to verify the authenticity of viral messages and alerts using AI and verified databases.",ఫేక్ న్యూస్ డిటెక్షన్ అంటే ఏమిటి?,"ఇది AI ద్వారా వార్తల నిజతను పరీక్షించే ఫీచర్."
faq08,How do I navigate safely during disasters?,"Use the navigation option to find safe routes to shelters or hospitals based on real-time disaster data.",విపత్తు సమయంలో సురక్షితంగా ఎలా ప్రయాణించాలి?,"నావిగేషన్ ఆప్షన్ ఉపయోగించి ఆశ్రయాలు లేదా ఆసుపత్రులకు సురక్షిత మార్గాలు కనుగొనండి."
faq09,Can I check safe zones on the map?,"Yes, the app highlights safe zones, shelters, and medical camps on the map.",మ్యాప్‌లో సురక్షిత ప్రాంతాలను చూడగలనా?,"అవును, మ్యాప్‌లో ఆశ్రయాలు మరియు వైద్య శిబిరాలు చూపబడతాయి."
faq10,How can I get alerts about nearby dangers?,"The app provides offline alerts for flood, fire, or earthquake-prone areas.",సమీప ప్రమాదాల గురించి అలర్ట్‌లు ఎలా వస్తాయి?,"యాప్ వరద, అగ్ని లేదా భూకంప ప్రాంతాల గురించి అలర్ట్‌లు ఇస్తుంది."
faq11,How can I contribute to relief work?,"You can volunteer through NGOs listed in the app or offer supplies to local shelters.",రిలీఫ్ పనుల్లో నేను ఎలా సహాయం చేయగలను?,"యాప్‌లో ఉన్న ఎన్‌జీఓల ద్వారా సేవ చేయండి లేదా సరఫరాలు ఇవ్వండి."
faq12,Can I translate answers into Telugu or Hindi?,"Yes! The assistant automatically responds in the detected language of your question.",సమాధానాలను తెలుగులో పొందవచ్చా?,"అవును! మీ భాషను యాప్ ఆటోమేటిక్‌గా గుర్తించి అదే భాషలో సమాధానం ఇస్తుంది."
faq13,How can I check local disaster news?,"Go to the 'Updates' tab to see official disaster updates and advisories.",స్థానిక విపత్తు వార్తలను ఎలా తెలుసుకోవాలి?,"'అప్‌డేట్స్' విభాగంలో అధికారిక సమాచారం చూడండి."
faq14,How do I share my location with rescuers?,"Use the 'Share Location' option in the app to send coordinates to emergency teams.",నా లొకేషన్‌ను రెస్క్యూ టీమ్‌లతో ఎలా షేర్ చేయాలి?,"'Share Location' బటన్ ద్వారా మీ లొకేషన్ పంపండి."
